time, galvanic skin response,
76969, 53,
77060, 53,
77148, 55,
77236, 54,
77324, 54,
77412, 54,
77500, 53,
77590, 53,
77678, 53,
77766, 55,
77854, 52,
77942, 53,
78030, 53,
78120, 53,
78209, 52,
78297, 53,
78385, 53,
78473, 52,
78561, 53,
78651, 53,
78739, 53,
78827, 55,
78915, 59,
79003, 51,
79093, 53,
79181, 53,
79269, 53,
79357, 53,
79446, 53,
79534, 53,
79624, 54,
79712, 53,
79800, 53,
79888, 53,
79976, 53,
80066, 54,
80154, 54,
80242, 52,
80330, 55,
80418, 54,
80506, 53,
80596, 54,
80685, 54,
80773, 53,
80861, 53,
80949, 53,
81037, 52,
81127, 52,
81215, 53,
81303, 54,
81391, 53,
81479, 53,
81569, 55,
81657, 53,
81745, 54,
81833, 53,
81922, 53,
82010, 52,
82100, 53,
82188, 53,
82276, 53,
82364, 54,
82452, 53,
82540, 53,
82630, 52,
82718, 53,
82806, 53,
82894, 53,
82982, 53,
83070, 51,
83161, 51,
83249, 53,
83337, 59,
83425, 53,
83513, 54,
83603, 53,
83691, 99,
83779, 119,
83869, 116,
83957, 76,
84045, 54,
84135, 54,
84224, 56,
84312, 55,
84400, 54,
84488, 51,
84576, 62,
84666, 54,
84754, 51,
84842, 51,
84930, 52,
85018, 52,
85108, 52,
85196, 52,
85284, 52,
85372, 51,
85460, 51,
85549, 51,
85639, 52,
85727, 52,
85815, 52,
85903, 51,
85991, 51,
86081, 51,
86169, 51,
86257, 52,
86345, 51,
86433, 52,
86521, 52,
86611, 53,
86700, 50,
86788, 52,
86876, 51,
86964, 51,
87052, 50,
87142, 51,
87230, 53,
87318, 53,
87406, 53,
87494, 52,
87582, 52,
87672, 52,
87760, 52,
87848, 52,
87937, 51,
88025, 53,
88115, 52,
88203, 53,
88291, 53,
88379, 51,
88467, 53,
88555, 53,
88645, 53,
88733, 53,
88821, 52,
88909, 52,
88997, 51,
89085, 50,
89176, 51,
89264, 50,
89352, 45,
89440, 53,
89528, 57,
89616, 73,
89706, 61,
89794, 64,
89882, 69,
89970, 73,
90058, 73,
90148, 73,
90236, 57,
90324, 74,
90413, 70,
90501, 72,
90589, 72,
90679, 71,
90767, 72,
90855, 72,
90943, 73,
91031, 71,
91119, 71,
91209, 69,
91297, 61,
91385, 62,
91473, 62,
91561, 52,
91652, 54,
91740, 55,
91828, 57,
91916, 56,
92004, 57,
92092, 57,
92182, 53,
92270, 51,
92358, 54,
92446, 55,
92534, 56,
92624, 58,
92712, 53,
92801, 57,
92889, 56,
92977, 54,
93065, 53,
93155, 53,
93243, 55,
93331, 53,
93419, 53,
93507, 54,
93595, 53,
93685, 54,
93773, 54,
93861, 53,
93949, 53,
94038, 54,
94126, 53,
94216, 53,
94304, 54,
94392, 53,
94480, 53,
94568, 53,
94658, 53,
94746, 53,
94834, 53,
94922, 53,
95010, 53,
95098, 53,
95188, 52,
95277, 54,
95365, 53,
95453, 54,
95541, 53,
95629, 52,
95719, 53,
95807, 52,
95895, 53,
95983, 53,
96071, 53,
96161, 53,
96249, 53,
96337, 53,
96425, 52,
96514, 52,
96602, 54,
96692, 54,
96780, 52,
96868, 54,
96956, 52,
97044, 52,
97132, 51,
97222, 51,
97310, 51,
97398, 51,
97486, 51,
97574, 51,
97665, 49,
97753, 50,
97841, 51,
97929, 50,
98017, 49,
98105, 50,
98195, 49,
98283, 50,
98371, 51,
98459, 50,
98547, 50,
98635, 49,
98725, 50,
98813, 49,
98902, 49,
98990, 49,
99078, 47,
99168, 50,
99256, 50,
99344, 49,
99432, 49,
99520, 50,
99608, 50,
99698, 49,
99786, 50,
99874, 56,
99962, 55,
100050, 54,
100141, 54,
100231, 54,
100321, 54,
100409, 53,
100499, 53,
100589, 54,
100679, 52,
100767, 54,
100857, 54,
100947, 60,
101038, 55,
101126, 54,
101216, 55,
101306, 53,
101396, 55,
101484, 55,
101574, 54,
101664, 54,
101754, 53,
101842, 52,
101933, 52,
102023, 59,
102113, 52,
102201, 57,
102291, 58,
102381, 52,
102471, 49,
102561, 82,
102649, 54,
102739, 54,
102830, 53,
102920, 52,
103008, 52,
103098, 52,
103188, 53,
103278, 52,
103366, 53,
103456, 53,
103546, 53,
103636, 53,
103725, 52,
103815, 53,
103905, 53,
103995, 53,
104083, 53,
104173, 53,
104263, 53,
104353, 53,
104441, 53,
104531, 53,
104622, 53,
104712, 53,
104800, 53,
104890, 53,
104980, 53,
105070, 53,
105158, 53,
105248, 54,
105338, 53,
105428, 53,
105517, 54,
105607, 52,
105697, 54,
105787, 52,
105875, 53,
105965, 53,
106055, 53,
106145, 53,
106233, 52,
106323, 54,
